iso-datetime,DAYTIME,CLOUDINESS,GHI,DAYTIME_4,DAYTIME_12,DAYTIME_24,CLEARSKY_GHI_24,CLEARSKY_GHI_12,CLEARSKY_GHI_4,CLEARSKY_GHI_0,CLEARSKY_GHI_-4,CLEARSKY_GHI_-12,CLEARSKY_GHI_-24,AZIMUTH_24,AZIMUTH_12,AZIMUTH_4,AZIMUTH_0,AZIMUTH_-4,AZIMUTH_-12,AZIMUTH_-24,LAT,LONG,ALT,GHI_4,GHI_12,GHI_24,station,MASK,MASK_4,MASK_12,MASK_24
2010-04-15 15:30:00,1.0,clear,699.6866666666699,1.0,1.0,1.0,0.0,155.3916760288235,557.212612500575,715.5686276088535,825.7827702834542,873.1749568578199,518.8317150847331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.05192,-88.37309,230,829.1333333333363,896.6133333333364,510.5933333333361,BND,1,1,1,1
2010-04-15 15:45:00,1.0,clear,737.9933333333364,1.0,1.0,1.0,0.0,206.92685913356922,600.7008166851825,748.0307572355297,844.7545636898669,862.1044679103878,471.4597125373445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.05192,-88.37309,230,854.783333333337,926.0600000000027,477.54000000000286,BND,1,1,1,1
2010-04-15 16:00:00,1.0,clear,770.4200000000033,1.0,1.0,1.0,0.0,259.30830013287556,641.7242633301158,777.3089886296691,860.0950942349152,847.3258633348318,422.3413147958332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.05192,-88.37309,230,878.4466666666696,902.0333333333365,380.9466666666696,BND,1,1,1,1
2010-04-15 16:15:00,1.0,clear,804.3333333333363,1.0,1.0,1.0,0.0,311.7087096324066,680.076251126657,803.2664068120716,871.7346115015985,828.9068692591742,371.7865713763699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.05192,-88.37309,230,895.9666666666698,899.4666666666695,304.57333333333617,BND,1,1,1,1
2010-04-15 16:30:00,1.0,clear,829.1333333333363,1.0,1.0,1.0,0.0,363.54093000698356,715.5686276088535,825.7827702834542,879.6204300036302,806.932160172626,320.1555210620045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.05192,-88.37309,230,889.0666666666697,879.7600000000033,198.8533333333361,BND,1,1,1,1
2010-04-15 16:45:00,1.0,clear,854.783333333337,1.0,1.0,1.0,0.0,414.3527397334139,748.0307572355297,844.7545636898669,883.7170264538764,781.5032276781116,267.88363339619474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.05192,-88.37309,230,838.1733333333364,853.6533333333366,212.53333333333612,BND,1,1,1,1
2010-04-15 17:00:00,1.0,clear,878.4466666666696,1.0,1.0,1.0,0.0,463.77367490007936,777.3089886296691,860.0950942349152,884.0061117439602,752.738272005262,215.52922678586557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.05192,-88.37309,230,870.3400000000031,693.8866666666697,223.79333333333616,BND,1,1,1,1
2010-04-15 17:15:00,1.0,clear,895.9666666666698,1.0,1.0,1.0,0.0,511.4867212608218,803.2664068120716,871.7346115015985,880.4866697300617,720.7721445242402,163.86631961568293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.05192,-88.37309,230,933.8333333333363,614.2800000000029,166.0066666666695,BND,1,1,1,1
2010-04-15 17:30:00,1.0,clear,889.0666666666697,1.0,1.0,1.0,3.6234096108941016,557.212612500575,825.7827702834542,879.6204300036302,873.1749568578199,685.7563737016527,114.07700837366765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.05192,-88.37309,230,896.6133333333364,642.3933333333367,153.22666666666953,BND,1,1,1,1
2010-04-15 17:45:00,1.0,variable,838.1733333333364,1.0,1.0,1.0,24.47730769772157,600.7008166851825,844.7545636898669,883.7170264538764,862.1044679103878,647.8593689995154,68.17049024902829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.05192,-88.37309,230,926.0600000000027,629.7866666666697,103.24666666666948,BND,1,1,1,1
